year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,update_date
2022,1,ยโสธร,510,540,507,537,0,0,"2023-01-16 07:37:07"
2022,1,กาญจนบุรี,651,735,651,732,2,2,"2023-01-16 07:37:07"
2022,1,เลย,207,267,207,267,2,2,"2023-01-16 07:37:07"
2022,1,ตราด,660,672,585,594,0,0,"2023-01-16 07:37:07"
2022,1,สิงห์บุรี,81,87,78,84,1,1,"2023-01-16 07:37:07"
2022,1,สตูล,411,453,387,429,5,6,"2023-01-16 07:37:07"
2022,1,นครนายก,279,321,279,321,0,0,"2023-01-16 07:37:07"
2022,1,อุตรดิตถ์,219,231,219,231,1,1,"2023-01-16 07:37:07"
2022,1,กำแพงเพชร,360,381,357,378,0,0,"2023-01-16 07:37:07"
2022,1,พังงา,789,891,651,723,0,1,"2023-01-16 07:37:07"
2022,1,พะเยา,522,540,522,540,0,0,"2023-01-16 07:37:07"
2022,1,อุบลราชธานี,7470,8232,7452,8214,3,3,"2023-01-16 07:37:07"
2022,1,สุโขทัย,207,213,204,210,1,1,"2023-01-16 07:37:07"
2022,1,แม่ฮ่องสอน,318,369,318,369,2,2,"2023-01-16 07:37:07"
2022,1,อุดรธานี,2307,2541,2289,2523,0,0,"2023-01-16 07:37:07"
2022,1,กระบี่,678,783,546,639,2,3,"2023-01-16 07:37:07"
2022,1,นครราชสีมา,996,1107,996,1107,5,7,"2023-01-16 07:37:07"
2022,1,ศรีสะเกษ,912,948,909,945,0,0,"2023-01-16 07:37:07"
2022,1,สระแก้ว,570,609,561,600,0,0,"2023-01-16 07:37:07"
2022,1,ลพบุรี,501,549,501,549,3,3,"2023-01-16 07:37:07"
2022,1,ลำพูน,168,195,165,192,0,0,"2023-01-16 07:37:07"
2022,1,พัทลุง,1188,1338,1188,1338,1,1,"2023-01-16 07:37:07"
2022,1,ปทุมธานี,876,1011,867,1002,0,0,"2023-01-16 07:37:07"
2022,1,สุพรรณบุรี,339,345,327,333,1,1,"2023-01-16 07:37:07"
2022,1,ชุมพร,726,777,726,777,0,0,"2023-01-16 07:37:07"
2022,1,ราชบุรี,633,696,633,696,6,6,"2023-01-16 07:37:07"
2022,3,ปทุมธานี,5070,9834,5058,9810,1,1,"2023-01-16 07:37:07"
2022,3,ราชบุรี,1602,3117,1599,3114,1,7,"2023-01-16 07:37:07"
2022,3,ชุมพร,1314,3030,1314,3030,1,1,"2023-01-16 07:37:07"
2022,3,พัทลุง,1719,4434,1719,4434,2,4,"2023-01-16 07:37:07"
2022,3,สุพรรณบุรี,954,2205,951,2190,1,3,"2023-01-16 07:37:07"
2022,3,มุกดาหาร,846,2001,846,2001,0,0,"2023-01-16 07:37:07"
2022,3,ไม่ระบุ,0,0,0,0,0,0,"2023-01-16 07:37:07"
2022,3,นครศรีธรรมราช,3216,10554,3216,10551,1,4,"2023-01-16 07:37:07"
